"Nomenclature","ReporterCode","ReporterISO3","ReporterName","ProductCode","ProductDescription","PartnerCode","PartnerName","PartnerISO3","Year","TradeFlowName","TradeValue in 1000 USD"
"H4","036","AUS","Australia","01","LIVE ANIMALS","000","World","WLD",2017,"Gross Exports",1242319.41389637
"H4","036","AUS","Australia","01","LIVE ANIMALS","032","Argentina","ARG",2017,"Gross Exports",129.58778547
"H4","036","AUS","Australia","01","LIVE ANIMALS","050","Bangladesh","BGD",2017,"Gross Exports",377.96923063449
"H4","036","AUS","Australia","01","LIVE ANIMALS","064","Bhutan","BTN",2017,"Gross Exports",75.57268267791
"H4","036","AUS","Australia","01","LIVE ANIMALS","096","Brunei Darsm","BRN",2017,"Gross Exports",5043.41782120737
"H4","036","AUS","Australia","01","LIVE ANIMALS","104","Myanmar","MMR",2017,"Gross Exports",859.13097845949
"H4","036","AUS","Australia","01","LIVE ANIMALS","124","Canada","CAN",2017,"Gross Exports",405.26394549597
"H4","036","AUS","Australia","01","LIVE ANIMALS","144","Sri Lanka","LKA",2017,"Gross Exports",6473.97419100894
"H4","036","AUS","Australia","01","LIVE ANIMALS","152","Chile","CHL",2017,"Gross Exports",49.01715494775
"H4","036","AUS","Australia","01","LIVE ANIMALS","156","China","CHN",2017,"Gross Exports",115376.764112797
"H4","036","AUS","Australia","01","LIVE ANIMALS","196","Cyprus","CYP",2017,"Gross Exports",53.6754141
"H4","036","AUS","Australia","01","LIVE ANIMALS","208","Denmark","DNK",2017,"Gross Exports",1.53358326
"H4","036","AUS","Australia","01","LIVE ANIMALS","251","France+Monac","FRA",2017,"Gross Exports",3.06716652
"H4","036","AUS","Australia","01","LIVE ANIMALS","258","Fr.Polynesia","PYF",2017,"Gross Exports",2.30037489
"H4","036","AUS","Australia","01","LIVE ANIMALS","276","Germany","DEU",2017,"Gross Exports",51.2600204655
"H4","036","AUS","Australia","01","LIVE ANIMALS","344","Hong Kong","HKG",2017,"Gross Exports",52189.6257290895
"H4","036","AUS","Australia","01","LIVE ANIMALS","360","Indonesia","IDN",2017,"Gross Exports",463540.969716179
"H4","036","AUS","Australia","01","LIVE ANIMALS","372","Ireland","IRL",2017,"Gross Exports",1.53358326
"H4","036","AUS","Australia","01","LIVE ANIMALS","376","Israel","ISR",2017,"Gross Exports",41016.4165747066
"H4","036","AUS","Australia","01","LIVE ANIMALS","392","Japan","JPN",2017,"Gross Exports",35489.1202629292
