"Nomenclature","ReporterCode","ReporterISO3","ReporterName","ProductCode","ProductDescription","PartnerCode","PartnerName","PartnerISO3","Year","TradeFlowName","TradeValue in 1000 USD"
"H4","076","BRA","Brazil","01","LIVE ANIMALS","000","World","WLD",2017,"Gross Exports",357805.593
"H4","076","BRA","Brazil","01","LIVE ANIMALS","024","Angola","AGO",2017,"Gross Exports",1.393
"H4","076","BRA","Brazil","01","LIVE ANIMALS","032","Argentina","ARG",2017,"Gross Exports",16373.305
"H4","076","BRA","Brazil","01","LIVE ANIMALS","040","Austria","AUT",2017,"Gross Exports",0.8
"H4","076","BRA","Brazil","01","LIVE ANIMALS","056","Belgium","BEL",2017,"Gross Exports",25
"H4","076","BRA","Brazil","01","LIVE ANIMALS","068","Bolivia","BOL",2017,"Gross Exports",4675.287
"H4","076","BRA","Brazil","01","LIVE ANIMALS","144","Sri Lanka","LKA",2017,"Gross Exports",46.93
"H4","076","BRA","Brazil","01","LIVE ANIMALS","152","Chile","CHL",2017,"Gross Exports",4601.942
"H4","076","BRA","Brazil","01","LIVE ANIMALS","170","Colombia","COL",2017,"Gross Exports",10186.97
"H4","076","BRA","Brazil","01","LIVE ANIMALS","214","Dominican Rp","DOM",2017,"Gross Exports",1231.934
"H4","076","BRA","Brazil","01","LIVE ANIMALS","218","Ecuador","ECU",2017,"Gross Exports",13896.89
"H4","076","BRA","Brazil","01","LIVE ANIMALS","231","Ethiopia","ETH",2017,"Gross Exports",502.829
"H4","076","BRA","Brazil","01","LIVE ANIMALS","276","Germany","DEU",2017,"Gross Exports",12.327
"H4","076","BRA","Brazil","01","LIVE ANIMALS","344","Hong Kong","HKG",2017,"Gross Exports",246.49
"H4","076","BRA","Brazil","01","LIVE ANIMALS","360","Indonesia","IDN",2017,"Gross Exports",10.853
"H4","076","BRA","Brazil","01","LIVE ANIMALS","368","Iraq","IRQ",2017,"Gross Exports",39462.996
"H4","076","BRA","Brazil","01","LIVE ANIMALS","400","Jordan","JOR",2017,"Gross Exports",27483.153
"H4","076","BRA","Brazil","01","LIVE ANIMALS","422","Lebanon","LBN",2017,"Gross Exports",31889.402
"H4","076","BRA","Brazil","01","LIVE ANIMALS","450","Madagascar","MDG",2017,"Gross Exports",192.357
"H4","076","BRA","Brazil","01","LIVE ANIMALS","458","Malaysia","MYS",2017,"Gross Exports",447.03
"H4","076","BRA","Brazil","01","LIVE ANIMALS","490","Asia Othr.ns","OAS",2017,"Gross Exports",9.939
"H4","076","BRA","Brazil","01","LIVE ANIMALS","512","Oman","OMN",2017,"Gross Exports",21.195
"H4","076","BRA","Brazil","01","LIVE ANIMALS","528","Netherlands","NLD",2017,"Gross Exports",7.118
"H4","076","BRA","Brazil","01","LIVE ANIMALS","600","Paraguay","PRY",2017,"Gross Exports",7293.711
"H4","076","BRA","Brazil","01","LIVE ANIMALS","604","Peru","PER",2017,"Gross Exports",9887.497
"H4","076","BRA","Brazil","01","LIVE ANIMALS","686","Senegal","SEN",2017,"Gross Exports",216.093
"H4","076","BRA","Brazil","01","LIVE ANIMALS","699","India","IND",2017,"Gross Exports",358.301
"H4","076","BRA","Brazil","01","LIVE ANIMALS","784","Untd Arab Em","ARE",2017,"Gross Exports",1654.859
"H4","076","BRA","Brazil","01","LIVE ANIMALS","792","Turkey","TUR",2017,"Gross Exports",146057.623
"H4","076","BRA","Brazil","01","LIVE ANIMALS","818","Egypt","EGY",2017,"Gross Exports",28987.134
"H4","076","BRA","Brazil","01","LIVE ANIMALS","826","Untd.Kingdom","GBR",2017,"Gross Exports",0.15
"H4","076","BRA","Brazil","01","LIVE ANIMALS","842","USA,PR,USVI","USA",2017,"Gross Exports",5450.676
"H4","076","BRA","Brazil","01","LIVE ANIMALS","858","Uruguay","URY",2017,"Gross Exports",2489.341
"H4","076","BRA","Brazil","01","LIVE ANIMALS","862","Venezuela","VEN",2017,"Gross Exports",4084.068
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","000","World","WLD",2017,"Gross Exports",13953384.309
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","004","Afghanistan","AFG",2017,"Gross Exports",8490.464
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","008","Albania","ALB",2017,"Gross Exports",33846.346
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","012","Algeria","DZA",2017,"Gross Exports",39928.489
"H4","076","BRA","Brazil","02","MEAT AND EDIBLE MEAT OFFAL","024","Angola","AGO",2017,"Gross Exports",184789.542
